Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Cluster,Customer Segment
101,Female,29,New York,Gold,1120.2,14,4.6,True,25,Satisfied,3,Regular Customers
102,Male,34,Los Angeles,Silver,780.5,11,4.1,False,18,Neutral,3,Regular Customers
103,Female,43,Chicago,Bronze,510.75,9,3.4,True,42,Unsatisfied,2,Inactive Customers
104,Male,30,San Francisco,Gold,1480.3,19,4.7,False,12,Satisfied,1,Premium Customers
105,Male,27,Miami,Silver,720.4,13,4.0,True,55,Unsatisfied,2,Inactive Customers
106,Female,37,Houston,Bronze,440.8,8,3.1,False,22,Neutral,0,Low-Value Customers
107,Female,31,New York,Gold,1150.6,15,4.5,True,28,Satisfied,3,Regular Customers
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral,3,Regular Customers
109,Female,41,Chicago,Bronze,495.25,10,3.6,True,40,Unsatisfied,2,Inactive Customers
110,Male,28,San Francisco,Gold,1520.1,21,4.8,False,9,Satisfied,1,Premium Customers
111,Male,32,Miami,Silver,690.3,11,3.8,True,34,Unsatisfied,2,Inactive Customers
112,Female,36,Houston,Bronze,470.5,7,3.2,False,20,Neutral,0,Low-Value Customers
113,Female,30,New York,Gold,1200.8,16,4.3,True,21,Satisfied,3,Regular Customers
114,Male,33,Los Angeles,Silver,820.75,13,4.4,False,15,Satisfied,3,Regular Customers
115,Female,42,Chicago,Bronze,530.4,9,3.5,True,38,Unsatisfied,2,Inactive Customers
116,Male,29,San Francisco,Gold,1360.2,18,4.9,False,11,Satisfied,1,Premium Customers
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied,2,Inactive Customers
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral,0,Low-Value Customers
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied,3,Regular Customers
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral,3,Regular Customers
121,Female,43,Chicago,Bronze,505.75,10,3.3,True,41,Unsatisfied,2,Inactive Customers
122,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,1,Premium Customers
123,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,2,Inactive Customers
124,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,0,Low-Value Customers
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,3,Regular Customers
126,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,3,Regular Customers
127,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,2,Inactive Customers
128,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,1,Premium Customers
129,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,2,Inactive Customers
130,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,0,Low-Value Customers
131,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,3,Regular Customers
132,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,3,Regular Customers
133,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,2,Inactive Customers
134,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,1,Premium Customers
135,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,2,Inactive Customers
136,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,0,Low-Value Customers
137,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,3,Regular Customers
138,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,3,Regular Customers
139,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,2,Inactive Customers
140,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,1,Premium Customers
141,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,2,Inactive Customers
142,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,0,Low-Value Customers
143,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,3,Regular Customers
144,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,3,Regular Customers
145,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,2,Inactive Customers
146,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,1,Premium Customers
147,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,2,Inactive Customers
148,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,0,Low-Value Customers
149,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,3,Regular Customers
150,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,3,Regular Customers
151,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,2,Inactive Customers
152,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,1,Premium Customers
153,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,2,Inactive Customers
154,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,0,Low-Value Customers
155,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,3,Regular Customers
156,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,3,Regular Customers
157,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,2,Inactive Customers
158,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,1,Premium Customers
159,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,2,Inactive Customers
160,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,0,Low-Value Customers
161,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,3,Regular Customers
162,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,3,Regular Customers
163,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,2,Inactive Customers
164,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,1,Premium Customers
165,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,2,Inactive Customers
166,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,0,Low-Value Customers
167,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,3,Regular Customers
168,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,3,Regular Customers
169,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,2,Inactive Customers
170,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,1,Premium Customers
171,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,2,Inactive Customers
172,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Unknown,0,Low-Value Customers
173,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,3,Regular Customers
174,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,3,Regular Customers
175,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,2,Inactive Customers
176,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,1,Premium Customers
177,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,2,Inactive Customers
178,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,0,Low-Value Customers
179,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,3,Regular Customers
180,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,3,Regular Customers
181,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,2,Inactive Customers
182,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,1,Premium Customers
183,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,2,Inactive Customers
184,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,0,Low-Value Customers
185,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,3,Regular Customers
186,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,3,Regular Customers
187,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,2,Inactive Customers
188,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,1,Premium Customers
189,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,2,Inactive Customers
190,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,0,Low-Value Customers
191,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,3,Regular Customers
192,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,3,Regular Customers
193,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,2,Inactive Customers
194,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,1,Premium Customers
195,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,2,Inactive Customers
196,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,0,Low-Value Customers
197,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,3,Regular Customers
198,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,3,Regular Customers
199,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,2,Inactive Customers
200,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,1,Premium Customers
201,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,2,Inactive Customers
202,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,0,Low-Value Customers
203,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,3,Regular Customers
204,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,3,Regular Customers
205,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,2,Inactive Customers
206,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,1,Premium Customers
207,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,2,Inactive Customers
208,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,0,Low-Value Customers
209,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,3,Regular Customers
210,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,3,Regular Customers
211,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,2,Inactive Customers
212,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,1,Premium Customers
213,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,2,Inactive Customers
214,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,0,Low-Value Customers
215,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,3,Regular Customers
216,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,3,Regular Customers
217,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,2,Inactive Customers
218,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,1,Premium Customers
219,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,2,Inactive Customers
220,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,0,Low-Value Customers
221,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,3,Regular Customers
222,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,3,Regular Customers
223,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,2,Inactive Customers
224,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,1,Premium Customers
225,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,2,Inactive Customers
226,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,0,Low-Value Customers
227,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,3,Regular Customers
228,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,3,Regular Customers
229,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,2,Inactive Customers
230,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,1,Premium Customers
